,Unnamed: 0,id,address,code,end_time,latitude,longitude,name,start_time,penalty_cost,seller
0,0,1,"Tầng B1, TTTM Vincom Center Liễu Giai, Số 29 Liễu Giai, P. Ngọc Khánh, Q. Ba Đình, Hà Nội",C1,75600,21.0311,105.8136648,VinMart Liễu Giai,28800,1000,C5
1,1,2,"163A Đại La, Phường Đồng Tâm, quận Hai Bà Trưng, Hà Nội",C2,75600,20.9964605,105.8446364,VinMart Đại La,28800,1000,C5
2,2,3,"Tòa nhà Nam Đô Complex, 609 Trương Định, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",C3,75600,20.9794457,105.8449844,VinMart Trương Định,28800,1000,C5
3,3,4,"TTTM Vincom Nguyễn Chí Thanh, Sô 54A Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội",C4,75600,21.0234901,105.8093995,VinMart Nguyễn Chí Thanh,28800,1000,C5
4,4,6,"281 Đội Cấn, Liễu Giai, Ba Đình, Hà Nội",C6,75600,21.0355053,105.8195195,VinMart Đội Cấn,28800,1000,C5
5,5,7,"Tràng An Complex, Số 1 Phùng Chí Kiên, Nghĩa Đô, Cầu Giấy, Hà Nội",C7,75600,21.044011,105.8028368,VinMart Tràng An,28800,1000,C5
6,6,8,"46 Thanh Nhàn, Hai Bà Trưng, Hà Nội",C8,75600,21.0030651,105.8580032,VinMart Võ Thị Sáu,28800,1000,C5
7,7,9,"51 Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội",C9,75600,21.0645134,105.8278671,VinMart Xuân Diệu,28800,1000,C5
8,8,10,"98 Thái Thịnh, Phường Ngã Tư Sở, Quận Đống Đa, Thành Phố Hà Nội",C10,75600,21.0075504,105.8211178,VinMart Thái Thịnh,28800,1000,C5
9,9,11,"131 Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",C11,75600,21.0420983,105.8699483,VinMart Nguyễn Văn Cừ II,28800,1000,C5
10,10,12,"131 Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà NộiSố 8 Quang Trung, P. Quang Trung, Q. Hà Đông, Hà Nội",C12,75600,20.9724074,105.7770757,VinMart Hà Đông 2,28800,1000,C5
11,11,13,"Tầng 4 TTTM Vincom Bà Triệu, 191 Bà Triệu, P. Lê Đại Hành, Q. Hai Bà Trưng, Hà Nội",C13,75600,21.0111389,105.8494609,VinMart Bà Triệu,28800,1000,C5
12,12,14,"Tầng 2, TTTM Vincom Mega Mall Ocean Park, Kiêu Kỵ, Gia Lâm, Hà Nội, Việt Nam",C14,75600,20.9940838,105.9598746,VinMart Ocean Park,28800,1000,C5
13,13,15,"Số 188 Phố Tây Sơn, Thị Trấn Phùng, Huyện Đan Phượng, Thành Phố Hà Nội",C15,75600,21.0836401,105.6725277,VinMart Đan Phượng,28800,1000,C5
14,14,16,"Tòa nhà CT1A Khu Đô Thị Tân Tây Đô, Xã Tân Lập, Huyện Đan Phượng, TP Hà Nội",C16,75600,21.0741291,105.7007906,VinMart Hoài Đức,28800,1000,C5
15,15,17,"Tầng Hầm B1 - TTTM Vincom Phạm Ngọc Thạch, Số 2 Phạm Ngọc Thạch, Phường Trung Tự, Quận Đống Đa,  Thành Phố Hà Nội",C17,75600,21.0062871,105.831843,VinMart Phạm Ngọc Thạch,28800,1000,C5
16,16,18,"Tầng 1 nhà CT7A, khu đô thị mới, Văn Quán, Yên Phúc, Hà Đông, Hà Nội, Việt Nam",C18,75600,20.9703841,105.7868365,WinMart Văn Quá,28800,1000,C5
17,17,19,"Số 183 Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Thành phố Hà Nội",C19,75600,20.9975522,105.8228263,WinMart+ Hoàng Văn Thái,28800,1000,C5
18,18,20,"Số 203 Nguyễn Văn Cừ, phường Võ Cường, TP Bắc Ninh",C20,75600,21.1732146,106.0534712,VinMart+ 203 Nguyễn Văn Cừ - Bắc Ninh,28800,1000,C5
19,19,21,"Số 73 Phố Vũ, phường Đại Phúc, TP Bắc Ninh",C21,75600,21.1757102,106.0776232,VinMart+ 73 Phố Vũ - Bắc Ninh,28800,1000,C5
20,20,23,"VinMart+ 3 Hàng Bút, Số 3 Hàng Bút, phường Hàng Bồ, quận Hoàn Kiếm, Hà Nội",C23,75600,21.0349538,105.8478689,VinMart+ 3 Hàng Bút,28800,1000,C5
21,21,24,"433 Đ. Bạch Đằng, Chương Dương Độ, Hoàn Kiếm, Hà Nội, Việt Nam",C24,75600,21.0245166,105.862344,VinMart+ 453 Bạch Đằng,28800,1000,C5
