"id","created_at","updated_at","address","code","end_time","latitude","longitude","name","start_time","unloading_cost"
"1","1658894328274","1658894328371","AEON Mall Hà Đông, Dương Nội, Hà Đông, Hà Nội, Việt Nam","D1","75600","20.9897037","105.7517169","Kho hàng AEON Mall Hà Đông","25200","0"
"2","1658894415241","1658894415271","Big C THĂNG LONG","D2","75600","21.0074192","105.793188","Kho hàng Big C THĂNG LONG","25200","0"
"3","1658894579619","1658894579638","126 Đ. Tam Trinh, Yên Sở, Hoàng Mai, Hà Nội, Việt Nam","D3","75600","20.970357","105.8667081","Kho hàng MM Mega Market Hoàng Mai","25200","0"
"4","1658894633663","1658894633697","Trung tâm thương mại Aeon Mall Long Biên 27 Đ. Cổ Linh, Long Biên, Hà Nội","D4","75600","21.0272741","105.8993753","Kho hàng AEON Mall Long Biên","25200","0"
"5","1658894716574","1658894716624","Số 29, ngõ 47 Nguyễn Khá Trạc, Mai Dịch, Cầu Giấy, Hà Nội","D5","75600","21.0451697","105.7773353","Công ty TNHH nước giải khát BlueSea (nước giải khát và đồ uống không cồn)","25200","0"
"6","1659236822942","1659236823005","10 QL5, Dương Xá, Gia Lâm, Hà Nội, Việt Nam","D6","79200","21.004251","105.962196","Vinamilk - XÍ NGHIỆP KHO VẬN HÀ NỘI","25200","0"
"7","1659237147331","1659237147382","4XCV+HQ9, Đường Ts 15, Hoàn Sơn, Tiên Du, Bắc Ninh, Việt Nam","D7","79200","21.1230569","106.0046117","Acecook - Nhà máy Bắc Ninh 1","25200","0"
"8","1659237214798","1659237214844","14 Chương Dương Độ, Phường Chương Dương, Quận Hoàn Kiếm, Hà Nội","D8","79200","21.0296672","105.8592775","CÔNG TY TNHH MTV TM VÀ DV HÙNG CƯỜNG","25200","0"
"9","1659237332118","1659237332170","41, Ngõ 81, Phố Linh Lang, Phường Cống Vị, Quận Ba Đình, Hà Nội","D9","79200","21.0331376","105.8111563","CÔNG TY TNHH TM VÀ DV HƯƠNG LINH","25200","0"
"10","1659237346719","1659237346766","35 ngõ 61, Phố Lạc Trung, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội","D10","79200","21.000783","105.8666662","CÔNG TY CỔ PHẦN DỊCH VỤ HẠ TẦNG MẠNG","25200","0"
"11","1659237365403","1659237365457","Số 3 Ngõ 64, Sài Đồng, Long Biên, Hà Nội","D11","79200","21.0348651","105.9107262","Công ty TNHH Thủ Đô- Tín Nghĩa ( Unilever - Gia Lâm- Long Biên- Đông Anh - Sóc Sơn)","25200","0"
"12","1659237405948","1659237405993","15 Ngõ 92 Trần Thái Tông, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Việt Nam","D12","79200","21.0295367","105.7849454","CÔNG TY CP THƯƠNG MẠI PHÚ THÁI HÀ NỘI (P&G)","25200","0"
"13","1659237425404","1659237425438","Số 49 Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, TP Hà Nội","D13","79200","21.0133168","105.7999292","Công ty Đại Nam (phân phối đồ uống)","25200","0"
"14","1659237442783","1659237442835","92/88 Trần Quý Cáp, Văn Chương, Đống Đa, Hà Nội","D14","79200","21.0242872","105.8397761","Nhà phân phối Tuệ Minh (Pepsico)","25200","0"
"15","1659237460393","1659237460450","92 Trần Nhật Duât, Q. Hoàn Kiếm, Hà Nội","D15","79200","21.03643","105.853735","Công Ty Cổ Phần V-FOOD Việt Nam","25200","0"
"16","1659237475124","1659237475190","3F Hàng Đậu, Đồng Xuân, Ba Đình, Hà Nội","D16","79200","21.040523","105.8497057","CÔNG TY CỔ PHẦN HÀ NỘI FOODS VIỆT NAM","25200","0"
"17","1659237491479","1659237491545","352 Giải Phóng, P. Phương Liệt, Q. Hoàng Mai, Hà Nội","D17","79200","20.988173","105.8406343","Công Ty Hoa Quả Sạch FUJI FRUIT","25200","0"
"18","1659237514223","1659237514281","25 Gia Quất, P. Thượng Thanh, Q. Long Biên, Hà Nội","D18","79200","21.056971","105.8702348","Công ty TNHH Thực Phẩm Sạch Thương Mại T&P","25200","0"
"19","1659237526298","1659237526357","52 Mai Phúc, P. Phúc Đồng, Q. Long Biên,Hà Nội","D19","79200","21.0400626","105.8986779","Công Ty TNHH Sản Xuất Bánh Hà Nội","25200","0"
"20","1659237540839","1659237540886","306 Cầu Giấy Hà Nội","D20","79200","21.028817","105.804719","Cửa hàng phân phối bánh kẹo Kinh Đô - Cầu Giấy","25200","0"
"21","1659237553795","1659237553855","172 Đê Trần Khát Chân, Thanh Lương, Hai Bà Trưng, Hà Nội","D21","79200","21.0061851","105.8673479","Lò Bánh Mì - Bánh Ngọt Duy Mùi","25200","0"
"22","1659241962362","1659241962431","Trung tâm cung cấp nông sản Vineco - Khu đô thị Vinhomes Riverside, Phường Việt Hưng, Quận Long Biên, Thành phố Hà Nội","D22","79200","21.0461519","105.9156477","Trung Tâm Cung Cấp Nông Sản VINECO","25200","0"
"23","1659241993726","1659241993775","VinEco Tam Dao Greenhouses, Minh Quang, Tam Đảo, Vĩnh Phúc","D23","79200","21.349685","105.64775","VinEco Tam Dao","25200","0"
"24","1659242014313","1659242014362","82 Ngõ 651 - Phố Minh Khai, Thanh Lương, Hai Bà Trưng, Hà Nội, Việt Nam","D24","79200","21.0041859","105.867746","Kho đông lạnh Công ty Thực Phẩm Thanh Nga","25200","0"
"25","1659242069354","1659242069406","17 Quốc lộ 1A, Bình Vọng, tt. Thường Tín, Thường Tín, Hà Nội","D25","79200","20.8771884","105.8618409","Chi nhánh công ty TNHH nước giải khát Coca-cola Việt Nam tại Hà Nội","25200","0"
"26","1659242098936","1659242099002","Khu Công Nghiệp Đồng Văn 4, Đại Cương, Kim Bảng, Hà Nam","D26","79200","20.6397675","105.8896077","Nhà máy MNS MEAT Hà Nam","25200","0"
"27","1659242284675","1659242284724","17 Quốc lộ 1A, xã Duyên Thái, huyện Thường Tín, thành phố Hà Nội","D27","79200","20.8771884","105.8618409","Công ty Coca-cola Ngọc Hồi","25200","0"
"28","1659242495889","1659242495928","Big C Mê Linh, Đường Võ Văn Kiệt, tt. Quang Minh, Mê Linh, Hà Nội","D28","79200","21.1874027","105.7822931","Kho hàng Big C Mê Linh","25200","0"
"29","1659242534938","1659242534994","Big C Việt Trì, Đường Nguyen Tat Thanh, Thanh Miếu, Thành phố Việt Trì, Phú Thọ","D29","79200","21.3064074","105.431927","Kho hàng Big C VIỆT TRÌ","25200","0"
"30","1659242844535","1659242844578","MM Mega Market Hà Đông, Đường Tô Hiệu, Hà Cầu, Hà Đông, Hà Nội","D30","79200","20.9642345","105.7719851","Kho hàng MM Mega Market Hà Đông","25200","0"
"31","1659242866875","1659242866950","MM Mega Market Thăng Long, Phạm Văn Đồng, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội","D31","79200","21.0544582","105.7800604","MM Mega Market Thăng Long","25200","0"
"32","1659242892169","1659242892236","MM Supermarket Thanh Xuân, Giải Phóng, Phương Liệt, Thanh Xuân, Hà Nội","D32","79200","20.9857392","105.8405974","MM Supermarket Thanh Xuân","25200","0"
"33","1659243186517","1659243186569","Ng. 27 Đ. Đại Cồ Việt, Cầu Dền, Hai Bà Trưng, Hà Nội, Việt Nam","D33","79200","21.0083611","105.8500631","Nhà Phân phối nước giải khát Bách Khoa","25200","0"
"34","1659243264996","1659243265043","64, ĐT80, Phùng Xá, Thạch Thất, Hà Nội","D34","79200","21.0127442","105.6191492","Kho điện máy xanh thạch thất","25200","0"
"35","1659243329924","1659243329988","6MVF+RC4, Đạo Đức, Bình Xuyên, Vĩnh Phúc","D35","79200","21.2445125","105.6735781","Kho Điện Máy Xanh Chi Nhánh Vĩnh Phúc","25200","0"
"36","1659243357264","1659243357307","9VVF+R6H, QL3, Nam Tiến, Phổ Yên, Thái Nguyên","D36","79200","21.3943369","105.8724907","Kho Chi Nhánh Điện Máy Xanh Ba Hàng","25200","0"
"37","1659243389201","1659243389276","Kho điện máy Xanh, Liêu Xá, Yên Mỹ, Hưng Yên","D37","79200","20.9149379","106.0610787","Kho điện máy Xanh liêu xá","25200","0"
"38","1659243486129","1659243486171","Kho A11 cảng, Đ.Khuyến Lương, Yên Sở, Hoàng Mai, Hà Nội","D38","79200","20.9722252","105.8844851","Kho sữa vinamilk - công ty tnhh thương mại và dịch vụ thạch ban","25200","0"
"39","1659243510451","1659243510536","8 P. Trần Huy Liệu, Giảng Võ, Ba Đình, Hà Nội","D39","79200","21.0267706","105.8226947","Đại Lý Sữa Vinamilk","25200","0"
"40","1659243541791","1659243541837","767 Đ. Hồng Hà, Chương Dương Độ, Hoàn Kiếm, Hà Nội","D40","79200","21.0288085","105.8581394","Đại Lý Sữa Vinamilk - Hồng Hà","25200","0"
"41","1659243593636","1659243593730","9 Đ. Lạc Long Quân, Xuân La, Tây Hồ, Hà Nội","D41","79200","21.0512349","105.806733","Đại Lý Th True Mart","25200","0"
"42","1659243617927","1659243617973","26 P. Vương Thừa Vũ, Ngã Tư Sở, Đống Đa, Hà Nội","D42","79200","21.0008119","105.8216338","Nhà phân phối sữa Meiji chính thức tại Việt Nam","25200","0"
"43","1659243718130","1659243718174","Tổng Kho - Vua Nệm, Khu đô thị Bắc An Khánh, Lại Yên, Hoài Đức, Hà Nội","D43","79200","21.0197961","105.7196457","Tổng Kho - Vua Nệm","25200","0"
"44","1659243847132","1659243847172","422 Đường Kim Chung Di Trạch, Đức Giang, Hoài Đức, Hà Nội","D44","79200","21.0593516","105.7142231","Tổng kho Nội Thất Hưng Việt","25200","0"
"45","1659244052553","1659244052608","487 Đ. Hoàng Hoa Thám, Vĩnh Phú, Ba Đình, Hà Nội","D45","79200","21.0446756","105.812438","Tổng Kho Nội Thất Nhập Khẩu PT Home","25200","0"
"46","1659244339062","1659244339117","89 Đ. Lĩnh Nam, Mai Động, Hai Bà Trưng, Hà Nội","D46","79200","20.9884168","105.8665135","Kho Tiki Lĩnh Nam","25200","0"
"47","1659244426548","1659244426588"," 120 P. Bà Triệu, Nguyễn Du, Hai Bà Trưng, Hà Nội","D47","79200","21.0182282","105.8491996","Tổng kho và Đại lý đệm Everon Bà Triệu","25200","0"
"48","1659244513808","1659244513857","24 Đ. Thụy Khuê, Thuỵ Khuê, Tây Hồ, Hà Nội ","D48","79200","21.0410246","105.82782","Đệm sông hồng - Kho đệm","25200","0"
"49","1659244605406","1659244605471","Số 5 Ngõ 564 Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội","D49","79200","21.0507279","105.8851456","Tổng Kho Điện Máy Hà Nội","25200","0"
"50","1659244650674","1659244650750","32 Đ. Cầu Bươu, Tân Triều, Thanh Trì, Hà Nội","D50","79200","20.9655337","105.7925255","Tổng Kho Điện Máy Giá Rẻ Tại Hà Nội - BiaĐiệnMáy.Com","25200","0"
